"ACTOR1","ACTOR2","COUNTRY","EVENT_DATE","EVENT_ID_CNTY","EVENT_TYPE","ISO","LOCATION","NOTES","SUB_EVENT_TYPE","YEAR","annotation_id","annotator","created_at","id","lead_time","max_partviolence","max_secengagement","mmad_issue","mmad_max_scope","mmad_mean_avg_numparticipants","mmad_side","mmd_participants","mmd_participants_category","mmd_protesterdemand_1","mmd_protesterdemand_2","mmd_protesteridentity","mmd_protesterviolence","mmd_protestnumber","mmd_stateresponse_1","mmd_stateresponse_2","navco_camp_goals","navco_damage","navco_fatal_casu","navco_injuries","navco_num_partic_event","navco_nv_categ","navco_nv_commission","navco_nv_concentration","navco_nv_tactic_ns","navco_st_posture","navco_tactic_choice","navco_v_tactic_ns","scad_cgovtarget","scad_escalation","scad_etype","scad_gender_tags","scad_issues_1","scad_issues_2","scad_ndeath","scad_npart","scad_repress","scad_rgovtarget","updated_at"
"Rioters (Bahrain)","Police Forces of Bahrain (1999-)","Bahrain","2017-09-15","BHR7332","Riots",48,"Karzakkan","On 15 September 2017, anti-regime rioters who are part of the agitation led by the February 14 Youth Coalition, threw Molotov cocktails at armoured police vehicles in Karzakkan.","Violent demonstration",2017,111,"1","2025-07-24T13:38:19.905126Z",1053,236.536,"property_damage_or_clashes","NA","against:regime","national","","anti-gov","","","","","February 14 Youth Coalition","yes","","ignore","","regime_change","","","","","","","","","neutral","violent","molotov cocktails","yes","no_escalation","anti_gov_violence","","unknown","","","unknown","non_lethal","no","2025-07-24T13:38:19.905180Z"
"Rioters (Bahrain)","Police Forces of Bahrain (1999-)","Bahrain","2017-02-23","BHR5299","Riots",48,"Al Diraz","On 23 February 2017, Shiite rioters in Diraz threw Molotov cocktails at security forces.","Violent demonstration",2017,112,"1","2025-07-24T13:39:28.788344Z",1054,61.624,"property_damage_or_clashes","NA","","national","","pro-gov","","","","","Shiite rioters","yes","","","","unknown","","","","","","","","","","","","yes","no_escalation","anti_gov_violence","","unknown","","","unknown","none","no","2025-07-24T13:39:28.788373Z"
"Protesters (Nigeria)","","Nigeria","2017-02-17","NIG10256","Protests",566,"Ikeja","The Association of Waste Managers of Nigeria, (AWAM) protest at the Lagos House Assembly over a bill that would 'jeopardise their business.'","Peaceful protest",2017,113,"1","2025-07-24T13:40:48.100049Z",1055,77.498,"NA","NA","against:bill","national","","anti-gov","","","political_behavior_process","","Association of Waste Managers of Nigeria","no","","ignore","","policy_change","","","","","protest","commission","concentration","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","economy_jobs","","","unknown","none","no","2025-07-24T13:40:48.100075Z"
"Protesters (Indonesia)","Private Security Forces (Indonesia)","Indonesia","2015-02-25","IDN2355","Protests",360,"Malang","On 25 February 2015, a group of students held a protest in Malang city, East Java province against the violent behavior of a lecturer. The security guards from the university intervened.","Protest with intervention",2015,114,"1","2025-07-24T13:43:19.761751Z",1056,135.091,"no_violence","physical_intervention","against:violent behavior","NA (only non-gov)","a group","non-gov target","a group","50-99","remove_corrupt_person","","students","no","","crowd_dispersal","","policy_change","","","","","protest","commission","concentration","protest","nonmaterial_non-physical_repression","nonviolent","","no","no_escalation","org_demo (clear leadership/organization)","","other","","","10_to_100","non_lethal","no","2025-07-24T13:43:19.761780Z"
"Rioters (Bangladesh)","","Bangladesh","2015-01-16","BGD301","Riots",50,"Gazipur","In Gazipur, a group of Shibir activists brought out a procession in support of the JeI blockade in Bhogra Bypass area in the morning (16/01). The Shibir activists also set fire on the road by pouring petrol and vandalised some vehicles in the area.","Violent demonstration",2015,115,"1","2025-07-24T14:01:33.022575Z",1057,1090.603,"property_damage_or_clashes","NA","for:Jel blockade","national","a group","pro-gov","","","","","Shibir activists","yes","","ignore","","unknown","significant","","","a group","","","","","neutral","violent","setting road on fire","yes","no_escalation","org_riot","","unknown","","","unknown","none","no","2025-07-24T14:01:33.022603Z"
"Rioters (Bahrain)","Police Forces of Bahrain (1999-)","Bahrain","2017-10-21","BHR7471","Riots",48,"Al Akr","On 21 October 2017, anti-regime rioters in Akr set trash containers on fire and threw Molotov cocktails at security forces.","Violent demonstration",2017,116,"1","2025-07-24T14:03:00.674671Z",1058,84.524,"property_damage_or_clashes","NA","against:regime","national","","anti-gov","","","","","anti regime rioters","yes","","ignore","","unknown","","","","","","","","","neutral","violent","set trash containers on fire and threw Molotov cocktails","yes","no_escalation","anti_gov_violence","","unknown","","","unknown","none","no","2025-07-24T14:03:00.674715Z"
"Protesters (Turkey)","Police Forces of Turkey (2016-)","Turkey","2017-10-17","TUR23458","Protests",792,"Cankaya","On 17 October 2017, a demonstration was held at Yuksel Street in Cankaya, Ankara to show solidarity with two former public workers who went on hunger strike in protest of their dismissal by legislative decrees. Police intervened in the protest and detained 8 protesters.","Protest with intervention",2017,117,"1","2025-07-24T14:04:47.812679Z",1059,104.724,"no_violence","physical_intervention","against:worker dismissal","national","","anti-gov","","","political_behavior_process","","","no","","arrests","","policy_change","","","","","protest","commission","concentration","sit in protest","material_physical_repression","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","economy_jobs","","","unknown","non_lethal","no","2025-07-24T14:04:47.812717Z"
"Protesters (Turkey)","Police Forces of Turkey (2016-)","Turkey","2017-10-07","TUR23421","Protests",792,"Cankaya","On 7 October 2017, a demonstration was held at Yuksel Street in Cankaya, Ankara to show solidarity with two former public workers who went on hunger strike in protest of their dismissal by legislative decrees. Police intervened in the protest, moved the protesters out of the area by force and also detained 8 protesters.","Protest with intervention",2017,118,"1","2025-07-24T14:06:32.045190Z",1060,57.385,"NA","physical_intervention","against:worker dismissal","national","","anti-gov","","","labor_wage_dispute","","","no","","arrests","","policy_change","","","","","protest","commission","concentration","protest","material_physical_repression","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","economy_jobs","","","unknown","non_lethal","no","2025-07-24T14:06:32.045223Z"
"Rioters (Bahrain)","","Bahrain","2016-11-26","BHR4134","Riots",48,"Manama","On 26 November 2016, as part of a campaign of civil disobedience to express their solidarity with political prisoners, anti-regime rioters who are part of the agitation led by the February 14 Youth Coalition, blocked a street in Manama with burning trash containers without staging a demonstration.","Violent demonstration",2016,119,"1","2025-07-24T14:08:51.981341Z",1061,136.413,"property_damage_or_clashes","NA","{""text"":[""against:regime"",""for:solidarity with political prisoners""]}","national","","anti-gov","","","",""," February 14 Youth Coalition,","yes","","ignore","","unknown","","","","","protest","commission","","set trashcans on fire","neutral","nonviolent","","yes","no_escalation","spont_riot","","unknown","","","unknown","none","no","2025-07-24T14:08:51.981368Z"
"Rioters (Bahrain)","Police Forces of Bahrain (1999-)","Bahrain","2016-09-25","BHR3832","Riots",48,"Abu Saybi","On 25 September 2016, as part of a campaign of civil disobedience to denounce the trial of Ayatollah Sheikh Isa Qassim, anti-regime rioters who are part of the agitation led by the February 14 Youth Coalition, threw Molotov cocktails at security forces in Abu Saybi without staging a demonstration.","Violent demonstration",2016,120,"1","2025-07-24T14:13:26.561480Z",1062,271.817,"no_violence","NA","against:regime","national","","anti-gov","","","political_behavior_process",""," February 14 Youth Coalition","yes","","ignore","","institutional_reform","","","","","","","","","neutral","violent","molotov cocktails","yes","no_escalation","spont_riot","","unknown","","","unknown","none","no","2025-07-24T14:13:26.561508Z"
"Protesters (Turkey)","","Turkey","2016-07-27","TUR4832","Protests",792,"Bergama","People in Bergama, Balikesir staged an anti coup Democracy Watch rally on July 27.","Peaceful protest",2016,121,"1","2025-07-24T14:14:55.906781Z",1063,86.625,"NA","NA","against:coup","national","","pro-gov","","","political_behavior_process","","","","","ignore","","unknown","","","","","persuasion","commission","concentration","rally","","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","pro_government","","","unknown","none","no","2025-07-24T14:14:55.906808Z"
"Protesters (Turkey)","","Turkey","2016-07-25","TUR4615","Protests",792,"Catak","People in Catak, Van staged an anti coup Democracy Watch rally on July 25.","Peaceful protest",2016,122,"1","2025-07-24T14:18:03.833442Z",1064,84.895,"no_violence","NA","against:coup","national","","pro-gov","","","political_behavior_process","","","no","","ignore","","unknown","","","","","","","","","neutral","violent","","no","no_escalation","org_demo (clear leadership/organization)","","unknown","","","unknown","none","no","2025-07-24T14:18:03.833468Z"
"Protesters (Turkey)","","Turkey","2016-07-23","TUR4416","Protests",792,"Gaziantep","People in Gaziantep staged an anti coup Democracy Watch rally on July 23. Politicians AKP and CHP have joined the rally.","Peaceful protest",2016,123,"1","2025-07-24T14:19:18.615134Z",1065,68.128,"NA","NA","against:coup","national","","pro-gov","","","political_behavior_process","","","no","","ignore","","unknown","","","","","persuasion","commission","concentration","rally","neutral","nonviolent","","no","no_escalation","org_demo (clear leadership/organization)","","unknown","","","unknown","none","no","2025-07-24T14:19:18.615161Z"
"Protesters (Turkey)","","Turkey","2016-07-22","TUR4272","Protests",792,"Anamur","People in Anamur, Mersin staged an anti coup Democracy Watch rally on July 22.","Peaceful protest",2016,124,"1","2025-07-24T14:20:16.776323Z",1066,47.778,"NA","NA","against:coup","national","","pro-gov","","","political_behavior_process","","","no","","","","unknown","","","","","persuasion","commission","concentration","rally","neutral","nonviolent","","no","no_escalation","org_demo (clear leadership/organization)","","unknown","","","unknown","none","no","2025-07-24T14:20:16.776353Z"
"Protesters (Turkey)","","Turkey","2016-07-22","TUR4333","Protests",792,"Sakarya","People in Sakarya staged an anti coup Democracy Watch rally on July 22.","Peaceful protest",2016,125,"1","2025-07-24T14:21:10.291255Z",1067,48.378,"NA","NA","against:coup","national","","pro-gov","","","political_behavior_process","","","no","","ignore","","unknown","","","","","persuasion","commission","concentration","rally","neutral","nonviolent","","no","no_escalation","org_demo (clear leadership/organization)","","unknown","","","unknown","none","no","2025-07-24T14:21:10.291281Z"
"Protesters (Turkey)","","Turkey","2016-07-21","TUR4173","Protests",792,"Ayvalik","People in Ayvalik, Balikesir staged an anti coup Democracy Watch rally on July 21.","Peaceful protest",2016,126,"1","2025-07-24T14:22:04.260065Z",1068,47.501,"NA","NA","against:coup","national","","pro-gov","","","political_behavior_process","","","no","","ignore","","unknown","","","","","persuasion","commission","concentration","rally","neutral","nonviolent","","no","no_escalation","org_demo (clear leadership/organization)","","unknown","","","unknown","none","no","2025-07-24T14:22:04.260088Z"
"Protesters (Turkey)","","Turkey","2016-07-18","TUR3852","Protests",792,"Bunyan","People in Bunyan, Kayseri staged an anti coup Democracy Watch rally on July 18.","Peaceful protest",2016,127,"1","2025-07-24T14:22:55.577952Z",1069,46.449,"NA","NA","against:coup","national","","pro-gov","","","political_behavior_process","","","no","","ignore","","unknown","","","","","persuasion","commission","concentration","rally","","nonviolent","","no","no_escalation","org_demo (clear leadership/organization)","","unknown","","","unknown","none","no","2025-07-24T14:22:55.577976Z"
"Protesters (Iran)","","Iran","2018-11-10","IRN2958","Protests",364,"Shush","On 10 November 2018, about 500 workers of Haft Tapeh Sugarcane Company, located 15 km outside of Shush, protested against more than 3 months of unpaid salaries.","Peaceful protest",2018,128,"1","2025-07-24T14:24:50.791426Z",1070,99.344,"NA","NA","against:unpaid wages","NA (only non-gov)","about 500","non-gov target","about 500","100-999","labor_wage_dispute","","workers of Haft Tapeh Sugarcane Company,","no","[{""number"":500}]","ignore","","unknown","","","","about 500","protest","commission","concentration","protest","neutral","nonviolent","","no","no_escalation","org_demo (clear leadership/organization)","","economy_jobs","","","101_to_1000","none","no","2025-07-24T14:24:50.791454Z"
"Protesters (Iran)","","Iran","2021-12-23","IRN12154","Protests",364,"Bandar e Emam Khomeyni","On 23 December 2021, active and retired teachers organized by the Coordinating Council of Teachers Syndicates in Iran protested in front of the Education Department building in Bandar e Emam Khomeyni city (Khuzestan) demanding that the government fully implement a teacher salary ranking bill, equalize pension payments, and release imprisoned teacher activists.","Peaceful protest",2021,129,"1","2025-07-24T14:26:16.129884Z",1071,81.121,"NA","NA","for:wages and pensions","NA (only non-gov)","","non-gov target","","","labor_wage_dispute","","teachers","no","","ignore","","policy_change","","","","","protest","omission","concentration","protest","neutral","nonviolent","","no","no_escalation","org_demo (clear leadership/organization)","","economy_jobs","","","unknown","none","no","2025-07-24T14:26:16.129909Z"
"Protesters (Iran)","","Iran","2021-12-13","IRN12503","Protests",364,"Bandar e Bushehr","On 13 December 2021, teachers organized by the Coordinating Council of Teachers Syndicates in Iran protested at the Education Department building in Bandar e Bushehr city (Bushehr) over the failure of the government to implement a salary ranking plan for teachers.","Peaceful protest",2021,130,"1","2025-07-24T14:40:07.476151Z",1072,91.491,"NA","NA","{""text"":[""for:wages"",""for:wages and pensions""]}","national","","anti-gov","","","labor_wage_dispute","","teachers","no","","ignore","","policy_change","","","","","protest","commission","concentration","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","economy_jobs","","","unknown","none","no","2025-07-24T14:40:07.476179Z"
"Protesters (Iran)","","Iran","2021-12-12","IRN12441","Protests",364,"Fasa","On 12 December 2021, teachers organized by the Coordinating Council of Teachers Syndicates in Iran protested at the Education Department building in Fasa city (Fars) over the failure of the government to implement a salary ranking plan for teachers.","Peaceful protest",2021,131,"1","2025-07-24T14:41:23.250846Z",1073,51.369,"NA","NA","for:wages and pensions","national","","anti-gov","","","labor_wage_dispute","","teachers","no","","ignore","","policy_change","","","","","protest","commission","concentration","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","economy_jobs","","","unknown","none","no","2025-07-24T14:41:23.250870Z"
"Protesters (Iran)","","Iran","2021-12-12","IRN12415","Protests",364,"Takab","On 12 December 2021, teachers organized by the Coordinating Council of Teachers Syndicates in Iran protested at the Education Department building in Takab city (West Azerbaijan) over the failure of the government to implement a salary ranking plan for teachers.","Peaceful protest",2021,132,"1","2025-07-24T14:42:33.822235Z",1074,51.492,"NA","NA","for:wages and pensions","national","","anti-gov","","","labor_wage_dispute","","teachers","no","","ignore","","policy_change","","","","","protest","commission","concentration","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","economy_jobs","","","unknown","none","no","2025-07-24T14:42:33.822254Z"
"Protesters (Iran)","","Iran","2021-12-11","IRN12309","Protests",364,"Hajjiabad","On 11 December 2021, teachers organized by the Coordinating Council of Teachers Syndicates in Iran protested at the Education Department building in Hajjiabad city (Fars) over the failure of the government to implement a salary ranking plan for teachers.","Peaceful protest",2021,133,"1","2025-07-24T14:43:20.787455Z",1075,43.674,"NA","NA","for:wages and pensions","national","","anti-gov","","","labor_wage_dispute","","teachers","no","","ignore","","policy_change","","","","","protest","commission","concentration","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","economy_jobs","","","unknown","none","no","2025-07-24T14:43:20.787476Z"
"Protesters (Iran)","","Iran","2021-12-11","IRN12281","Protests",364,"Bojnurd","On 11 December 2021, teachers organized by the Coordinating Council of Teachers Syndicates in Iran protested at the Education Department building in Bojnurd city (North Khorasan) over the failure of the government to implement a salary ranking plan for teachers.","Peaceful protest",2021,134,"1","2025-07-24T14:44:08.020767Z",1076,44.516,"NA","NA","for:wages and pensions","national","","anti-gov","","","labor_wage_dispute","","teachers","no","","ignore","","policy_change","","","","","protest","commission","concentration","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","economy_jobs","","","unknown","none","no","2025-07-24T14:44:08.020792Z"
"Protesters (China)","","China","2021-12-01","CHN11300","Protests",156,"Shenzhen","Around 1 December 2021 (as reported), 3 workers protested in Shenzhen city (Guangdong) to demand 95213.5 RMB worth of wage arrears owed by an electronic factory.","Peaceful protest",2021,135,"1","2025-07-24T14:46:41.399130Z",1077,150.787,"NA","NA","for:wages","NA (only non-gov)","3","non-gov target","3","","labor_wage_dispute","","workers","no","[{""number"":3}]","ignore","","policy_change","","","","3","protest","omission","concentration","protest","neutral","nonviolent","","no","no_escalation","org_demo (clear leadership/organization)","","economy_jobs","","","less_than_10","none","no","2025-07-24T14:46:41.399154Z"
"Protesters (Pakistan)","","Pakistan","2021-11-21","PAK71240","Protests",586,"Badin","On 21 November 2021, activists of PPP, civil society members and traders held a protest demonstration in Badin city (Badin, Sindh), against inflation and increase in prices of essential commodities.","Peaceful protest",2021,136,"1","2025-07-24T14:47:37.356303Z",1078,53.124,"NA","NA","against:inflation","national","","anti-gov","","","political_behavior_process","","activists of PPP","no","","ignore","","policy_change","","","","","protest","commission","concentration","protest","","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","economy_jobs","","","unknown","none","no","2025-07-24T14:47:37.356327Z"
"Protesters (China)","","China","2021-11-16","CHN11225","Protests",156,"Chongqing","Around 16 November 2021 (as reported), workers protested in Chongqing Municipality to demand wage arrears owed by a property group. They blocked the way of their boss for 20 hours.","Peaceful protest",2021,137,"1","2025-07-24T14:48:44.360719Z",1079,64.109,"no_violence","NA","for:wages","NA (only non-gov)","","non-gov target","","","labor_wage_dispute","","workers","","","ignore","","policy_change","","","","","persuasion","commission","concentration","block boss path","neutral","nonviolent","","no","no_escalation","org_demo (clear leadership/organization)","","economy_jobs","","","unknown","none","no","2025-07-24T14:48:44.360743Z"
"Protesters (Lebanon)","Military Forces of Lebanon (2020-2021)","Lebanon","2021-06-28","LBN11708","Protests",422,"Beirut - Mazraa","On 28 June 2021, protesters blocked the road [presumably with their bodies] at the entrance of the Salim Slem tunnel in Beirut - Mazraa (Beirut). Lebanese soldiers intervened and opened up the road. Nationwide demonstrations erupted in objection to the worsening economic and living conditions and the deteriorating local currency's exchange rate to the US dollar.","Protest with intervention",2021,138,"1","2025-07-24T14:51:04.044093Z",1080,135.098,"no_violence","presence_only","against:bad economic conditions","national","","anti-gov","","","price_tax_policy","","civilians","no","","crowd_dispersal","","policy_change","","","","","protest","commission","dispersion","protest","nonmaterial_non-physical_repression","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","economy_jobs","","","unknown","non_lethal","no","2025-07-24T14:51:04.044116Z"
"Protesters (Turkey)","","Turkey","2021-06-10","TUR16879","Protests",792,"Sirnak","On 10 June 2021, families who claim their children have been kidnapped by the PKK held a protest march in Sirnak town center. The families accused HDP of working with PKK, and demanded their children be returned.","Peaceful protest",2021,139,"1","2025-07-24T14:52:22.774798Z",1081,75.759,"NA","NA","against:kidnapping","national","","anti-gov","","","political_behavior_process","","families","","","ignore","","policy_change","","","","","protest","commission","concentration","march","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","human_rights_democracy","","","unknown","none","no","2025-07-24T14:52:22.774821Z"
"Protesters (Poland)","","Poland","2020-11-09","POL1622","Protests",616,"Gdynia","On 9 November 2020, activists affiliated to the Women's Strike movement gathered for a rally in Gdynia, protesting against a proposed restriction of the abortion law.","Peaceful protest",2020,140,"1","2025-07-24T14:53:24.791120Z",1082,58.434,"NA","NA","against:abortion restrictions","national","","anti-gov","","","social_restriction","","activists affiliated to the Women's Strike movement","no","","ignore","","policy_change","","","","","protest","commission","concentration","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","human_rights_democracy","","","unknown","none","no","2025-07-24T14:53:24.791143Z"
"Protesters (Poland)","","Poland","2020-11-04","POL1537","Protests",616,"Szczecin","On 4 November 2020, about 200 activists, mostly women, gathered for a rally in Szczecin, protesting against restrictions of abortions in Poland. The event was coordinated by the Women's Strike.","Peaceful protest",2020,141,"1","2025-07-24T14:54:57.944422Z",1083,80.938,"NA","NA","against:abortion restrictions","national","about 200","anti-gov","about 200","100-999","social_restriction","","activisits","no","[{""number"":200}]","ignore","","policy_change","","","","200","protest","commission","concentration","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","female_event","human_rights_democracy","","","101_to_1000","none","no","2025-07-24T14:54:57.944446Z"
"Protesters (Pakistan)","","Pakistan","2020-11-03","PAK62987","Protests",586,"Rawalpindi","On 3 November 2020, journalists and media workers staged a protest demonstration outside Jang office in Rawalpindi city (Rawalpindi, Punjab), against the arrest of Jang/Geo Group Editor-in-Chief and demanded his release. He was arrested in connection with an accountability case, however his arrest is believed to be an attack on media freedom.","Peaceful protest",2020,142,"1","2025-07-25T08:21:45.235262Z",1084,91.662,"NA","NA","against:illegal arrest","national","","anti-gov","","","police_brutality","","Journalists and media workers","no","","ignore","","policy_change","","","","","protest","commission","concentration","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","human_rights_democracy","","","unknown","none","no","2025-07-25T08:21:45.235285Z"
"Protesters (Poland)","","Poland","2020-11-02","POL1502","Protests",616,"Budzyn","On 2 November 2020, about 500 activists affiliated to the Women's Strike movement gathered for a rally in Budzyn, protesting against a proposed restriction of the abortion law.","Peaceful protest",2020,143,"1","2025-07-25T08:23:33.348684Z",1085,106.489,"NA","NA","against:abortion restrictions","national","about 500","anti-gov","about 500","100-999","political_behavior_process","","activisits","no","[{""number"":500}]","ignore","ignore","policy_change","","","","500","protest","commission","concentration","rally","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","human_rights_democracy","","","101_to_1000","none","no","2025-07-25T08:23:33.348708Z"
